id,name,show_id,count,percent,director_id
153,Abhishek Krishnan,80081374,1,0.002228114346828279,80144311
154,Abhishek Saha,80067906,1,0.002228114346828279,80020036
155,Abi Brittle,80117551,1,0.002228114346828279,80202605
156,Abigail Adriano,80222326,1,0.002228114346828279,80191513
157,Abigail Breslin,"70058017,70113003,70123542",3,0.006684343040484838,80157797
158,Abigail Cowen,80223989,1,0.002228114346828279,80190146
159,Abigail Cruttenden,81005266,1,0.002228114346828279,"80134524,80227119"
160,Abigail Jain,80121873,1,0.002228114346828279,81004245
161,Abigail Oliver,80213643,1,0.002228114346828279,81059649
162,Abigail Pniowsky,80990532,1,0.002228114346828279,80083594
163,Abigail Spencer,"70260729,80213299",2,0.004456228693656558,80059342
164,Abimana Aryasatya,80148162,1,0.002228114346828279,80167667
165,Abir Chatterjee,80176698,1,0.002228114346828279,"70229921,80117831"
166,Abir Goswami,70285730,1,0.002228114346828279,80155790
167,Abishek K.S.,81035104,1,0.002228114346828279,"80041339,80096955"
168,Abraham Attah,80044545,1,0.002228114346828279,80097221
169,Abraham Benrubi,80190146,1,0.002228114346828279,70114342
170,Abraham Rodríguez,81192594,1,0.002228114346828279,80108613
171,Abril Schreiber,80133042,1,0.002228114346828279,80158388
172,Abu Valayamkulam,81045060,1,0.002228114346828279,70053885
173,Ace Harney,81092331,1,0.002228114346828279,80063617
174,Acha Septriasa,81033200,1,0.002228114346828279,81002214
175,Achala Sachdev,60002818,1,0.002228114346828279,80192548
176,Achint Kaur,81067761,1,0.002228114346828279,81016361
177,Achita Pramoj Na Ayudhya,80999981,1,0.002228114346828279,80195243
178,Achita Sikamana,70062814,1,0.002228114346828279,80202905
179,Achyut Potdar,80156938,1,0.002228114346828279,81113921
180,Achyuth Kumar,80228282,1,0.002228114346828279,81122669
181,Acushla-Tara Kupe,80214792,1,0.002228114346828279,80228146
182,Ada Ameh,81165771,1,0.002228114346828279,81035398
183,Ada Carrasco,701346,1,0.002228114346828279,80032476
184,Ada Choi,80144152,1,0.002228114346828279,80171291
185,Ada Pan,"81020653,81191473",2,0.004456228693656558,80161104
186,Adaar Malik,80067906,1,0.002228114346828279,81014824
187,Adah Sharma,70117674,1,0.002228114346828279,80238637
188,Adain Bradley,80211884,1,0.002228114346828279,81217436
189,Adair Curtis,80204364,1,0.002228114346828279,80175333
190,Adam Andrianopolous,81154900,1,0.002228114346828279,81024729
191,Adam Arkin,"70019506,70114021",2,0.004456228693656558,81086640
192,Adam Baldwin,607931,1,0.002228114346828279,81018237
193,Adam Barrett,80173625,1,0.002228114346828279,"80032474,80058851,81024704"
194,Adam Bartley,"70269479,80174608",2,0.004456228693656558,80170870
195,Adam Beach,"80184676,80199381",2,0.004456228693656558,70039405
196,Adam Brody,"80039069,80098491,80190130",3,0.006684343040484838,"81035858,81035878"
197,Adam Busch,80107087,1,0.002228114346828279,81063743
198,Adam Butcher,80092885,1,0.002228114346828279,80194950
199,Adam Campbell,80158516,1,0.002228114346828279,"80150002,81037077"
200,Adam Chan,80050106,1,0.002228114346828279,60000677
201,Adam Chernick,80045783,1,0.002228114346828279,80099204
